date,open,close,volume,cap,open_change,volume_change,cap_change
"Apr 11, 2020",158.54,158.22,13555089447.0,17479687023.0,-0.07194,-0.24614,-0.00112
"Apr 10, 2020",170.83,158.41,17980944616.0,17499250378.0,-0.01117,0.20664,-0.07245
"Apr 09, 2020",172.76,170.81,14901696210.0,18866106818.0,0.04551,-0.12667,-0.0105
"Apr 08, 2020",165.24,172.64,17063110836.0,19066388908.0,-0.02312,-0.21221,0.0458
"Apr 07, 2020",169.15,165.1,21659346091.0,18231455422.0,0.17784,0.00106,-0.02373
"Apr 06, 2020",143.61,169.14,21636382525.0,18674571701.0,-0.01136,0.91795,0.17841
"Apr 05, 2020",145.26,143.55,11280993591.0,15847283514.0,0.02138,-0.05572,-0.0114
"Apr 04, 2020",142.22,145.22,11946658257.0,16029973618.0,0.00077,-0.09389,0.02214
"Apr 03, 2020",142.11,142.09,13184603402.0,15682757538.0,0.04701,-0.13955,0.00056
"Apr 02, 2020",135.73,142.03,15322861686.0,15673960169.0,0.01587,0.2301,0.04727
"Apr 01, 2020",133.61,135.63,12456564435.0,14966424710.0,0.00595,0.12574,0.0154
"Mar 31, 2020",132.82,133.59,11065246317,14739376438,0.05765,-0.06552,0.00531
"Mar 30, 2020",125.58,132.9,11841123306,14661550831,-0.04152,0.19148,0.05842
"Mar 29, 2020",131.02,125.58,9938133669,13852241607,-0.02246,-0.18288,-0.04113
"Mar 28, 2020",134.03,130.99,12162403960,14446379743,-0.03137,0.06723,-0.02192
"Mar 27, 2020",138.37,133.94,11396286629,14770071750,0.01601,0.00255,-0.03185
"Mar 26, 2020",136.19,138.36,11367261176,15255985586,-0.01958,-0.15379,0.01603
"Mar 25, 2020",138.91,136.2,13433092920,15015344150,0.02752,-0.0805,-0.01837
"Mar 24, 2020",135.19,138.76,14609068673,15296295171,0.09581,0.03245,0.02866
"Mar 23, 2020",123.37,134.91,14149877968,14870079035,-0.07136,0.1322,0.09412
"Mar 22, 2020",132.85,123.32,12497707224,13590860527,-0.00188,-0.0867,-0.07139
"Mar 21, 2020",133.1,132.82,13684083308,14635764102,-0.02598,-0.27828,0.00074
"Mar 20, 2020",136.65,132.74,18960388062,14624949757,0.18992,0.15635,-0.02811
"Mar 19, 2020",114.84,136.59,16396753275,15048018840,0.00861,0.41134,0.18955
"Mar 18, 2020",113.86,114.84,11617854009,12650160818,0.03125,-0.03885,0.00802
"Mar 17, 2020",110.41,113.94,12087490572,12549513954,-0.11672,-0.24382,0.0303
"Mar 16, 2020",125,110.61,15984904590,12180483053,0.0142,0.25675,-0.11656
"Mar 15, 2020",123.25,125.21,12719251813,13787534423,-0.07733,-0.00169,0.0156
"Mar 14, 2020",133.58,123.31,12740784545,13575727275,0.18538,-0.54276,-0.07418
"Mar 13, 2020",112.69,133.2,27864623061,14663417618,-0.42133,0.25886,0.18577
"Mar 12, 2020",194.74,112.35,22134741655,12366138225,-0.03003,0.30321,-0.4234
"Mar 11, 2020",200.77,194.87,16984790291,21446678546,-0.0103,-0.07414,-0.02926
"Mar 10, 2020",202.86,200.77,18344930072,22093126953,0.00765,-0.22417,-0.00591
"Mar 09, 2020",201.32,201.99,23645428606,22224520906,-0.15334,0.10587,0.00659
"Mar 08, 2020",237.78,200.69,21381823651,22079071207,-0.02449,0.10036,-0.15614
"Mar 07, 2020",243.75,237.85,19431652027,26164459704,0.06362,0.00294,-0.02317
"Mar 06, 2020",229.17,243.53,19374772256,26785082139,0.02017,0.06447,0.06232
"Mar 05, 2020",224.64,229.27,18201291785,25213804821,0.00031,0.09864,0.02128
"Mar 04, 2020",224.57,224.52,16567075208,24688386921,-0.02581,-0.16552,0.0003
"Mar 03, 2020",230.52,224.48,19853178572,24681090483,0.054,-0.02228,-0.02629
"Mar 02, 2020",218.71,230.57,20305587789,25347534007,-0.00473,0.11693,0.0531
"Mar 01, 2020",219.75,218.97,18179807469,24069393932,-0.03121,-0.00008,-0.00387
"Feb 29, 2020",226.83,219.85,18181296376,24162913195,-0.0007,-0.19422,-0.03036
"Feb 28, 2020",226.99,226.76,22563530559,24919509265,0.00576,-0.12018,0.00016
"Feb 27, 2020",225.69,226.75,25645522790,24915636231,-0.089,-0.02249,0.00488
"Feb 26, 2020",247.74,225.68,26235617201,24794645345,-0.06612,0.19913,-0.08922
"Feb 25, 2020",265.28,247.82,21878882134,27223398195,-0.0308,-0.0233,-0.06549
"Feb 24, 2020",273.71,265.22,22400845640,29131114037,0.04358,0.14372,-0.03107
"Feb 23, 2020",262.28,273.75,19585998814,30065188433,-0.01231,0.15852,0.04367
"Feb 22, 2020",265.55,262.33,16906032862,28807130266,0.0297,-0.18984,-0.01218
"Feb 21, 2020",257.89,265.6,20867593292,29162464509,-0.00743,-0.10169,0.02979
"Feb 20, 2020",259.82,257.95,23229828870,28318879771,-0.07878,0.02427,-0.00686
"Feb 19, 2020",282.04,259.76,22679414413,28514562065,0.05827,-0.14454,-0.07855
"Feb 18, 2020",266.51,281.94,26511477187,30945457816,0.02547,0.01873,0.05863
